val,test,length
139.7777302648935,139.84366749627696,16
77.87176517564225,77.13766870371919,32
49.15296807324841,48.4299414388772,64
35.92156886417661,35.29418653114845,128
29.673878463686194,29.17634450252662,256
26.759916905323472,26.310642725285618,512
25.512165196557973,25.007266227870147,1024
24.873523371930595,24.37497590900105,2048
24.655187453214698,24.156721249503253,4096
25.111255620856603,24.630436824077655,8192
31.407989949322545,30.78681211981892,16384
79.33681365279371,79.74084877967272,32768
